unique_id,name,phone,email,webiste,streetnum,streetname,city,state,country,postal,services_type,vat_rate
4245487771,Krissie Yandle,(310) 7717560,kyandle0@moonfruit.com,xrea.com,361,Clove,Los Angeles,California,United States,90040,Custom Aids,0.05
2979556130,Lauren Alpin,(228) 9561974,lalpin1@friendfeed.com,howstuffworks.com,12212,Huxley,Biloxi,Mississippi,United States,39534,Aircraft repair,0
7063843982,Hakim Satterly,(615) 5724001,hsatterly2@blogger.com,comcast.net,9,Hoepker,Nashville,Tennessee,United States,37250,Construction,0.05
1053155360,Valma Koenen,(901) 3539377,vkoenen3@hhs.gov,hibu.com,364,Canary,Memphis,Tennessee,United States,38161,Home Plumbing,0
9299408602,Alexi Eagleston,(713) 5619708,aeagleston4@alexa.com,google.fr,9,Comanche,Houston,Texas,United States,77095,Carpentry,0.05
5604936510,Averell Cauthra,(229) 6645346,acauthra5@netlog.com,woothemes.com,17261,New Castle,Albany,Georgia,United States,31704,Solar Panels,0.07
2976362602,Ben Haig,(718) 8910239,bhaig6@intel.com,ebay.co.uk,39,Kensington,Bronx,New York,United States,10464,Web Development,0.08
6515047975,Charmian Massen,(304) 2001568,cmassen7@desdev.cn,harvard.edu,8467,Hanover,Charleston,West Virginia,United States,25362,Postage,0.13
7240675718,Edythe Layhe,(716) 7641000,elayhe8@seesaa.net,so-net.ne.jp,50,Logan,Buffalo,New York,United States,14225,Packaging,0.09
9488025557,Gordy Wadham,(602) 3120005,gwadham9@npr.org,ted.com,67,Everett,Phoenix,Arizona,United States,85045,Design,0.05
3836590860,Dar Dane,(586) 9355020,ddanea@jimdo.com,theguardian.com,823,Maryland,Southfield,Michigan,United States,48076,Education and Tuition,0.07
7697992418,Bianka Robinett,(971) 7490234,brobinettb@ca.gov,studiopress.com,68,Dayton,Portland,Oregon,United States,97201,Videography,0.05
5811207727,Christyna Trowle,(702) 7185837,ctrowlec@tmall.com,noaa.gov,8634,Clove,Santa Barbara,California,United States,93111,Editing,0
7667235506,Emelda Wormleighton,(321) 4909083,ewormleightond@imageshack.us,elegantthemes.com,4699,Meadow Vale,Orlando,Florida,United States,32819,Painting,0.15
9726671728,Edan Bundock,(412) 1617826,ebundocke@blinklist.com,icq.com,6331,Summit,Pittsburgh,Pennsylvania,United States,15250,Accounting,0.05
